ketto_toroku_bango,bamei
1997106455,シンボリオレゴン　　　　　　　　　　
1997106482,テクノスマイル　　　　　　　　　　　
1997106484,ハトナイスキー　　　　　　　　　　　
1997106495,デューライトジンク　　　　　　　　　
1997106504,トニージェント　　　　　　　　　　　
1997106540,タマノユウユウ　　　　　　　　　　　
1997106547,タガノテースト　　　　　　　　　　　
1997106562,シャークローズ　　　　　　　　　　　
1997106576,レインボーリバティ　　　　　　　　　
1997106629,サファリテイオー　　　　　　　　　　
1997106633,タカミコタン　　　　　　　　　　　　
1997106641,スペリオアザーズ　　　　　　　　　　
1997106648,マイネルラッシュ　　　　　　　　　　
1997106674,ピアジュエル　　　　　　　　　　　　
1997106716,グラスキャニオン　　　　　　　　　　
1997106760,ナイスキングオー　　　　　　　　　　
1997106762,ミサトプリムローズ　　　　　　　　　
1997106764,サファリワンダフル　　　　　　　　　
1997106774,アイアイアスリート　　　　　　　　　
1997106808,タッチダウンパス　　　　　　　　　　
1997106837,ニチジュウモガミ　　　　　　　　　　
1997106840,コーリンサウザー　　　　　　　　　　
1997106847,フジノスマイル　　　　　　　　　　　
1997106860,ツクバモナクル　　　　　　　　　　　
1997106868,マッキーローレル　　　　　　　　　　
1997106887,コアレスドーツ　　　　　　　　　　　
1997106891,コアレスハンター　　　　　　　　　　
1997106942,キングカイザー　　　　　　　　　　　
1997106983,フュージティブ　　　　　　　　　　　
1997107004,メイキングアワー　　　　　　　　　　
1997107006,イブキノコンバット　　　　　　　　　
1997107018,ゴールデンイースト　　　　　　　　　
1997107039,ホッカイワントン　　　　　　　　　　
1997107070,アパティア　　　　　　　　　　　　　
1997107077,グットスピード　　　　　　　　　　　
1997107088,ダテノイメージ　　　　　　　　　　　
1997107145,マサノケーティング　　　　　　　　　
1997107149,オキノトップ　　　　　　　　　　　　
1997107184,フリートツイスター　　　　　　　　　
